File Name,Total Faces,Curved Faces,Total Edges,Vertices,Bounding Box Volume,Mean Curvature,Curvature Std Dev,Volume,Hole Count,Criteria Met
00009670.step,8,1,36,72,10000.00033000005,-0.0078125,0.020669932117692115,7994.690350851271,1,3
00009679.step,169,97,848,1696,1298187.6407478442,-0.07270477659049543,0.13715899188576713,200166.35645546738,73,4
00009692.step,75,44,468,936,47318.726057225686,-0.15715419883833093,0.4521155697466911,1542.6665457904135,44,6
00009715.step,6,3,18,36,1203522.253521355,-0.04746985009624294,0.09595711907208761,188161.62001815907,0,3
00009723.step,401,274,2062,4124,128354.43596266741,-0.2565546589401442,0.3836413233077093,16158.412209088332,120,1
00009727.step,193,118,1036,2072,15718.200559197223,-0.13490363861393567,0.1840386803030093,6011.159317411807,83,5
00009729.step,172,126,861,1722,27291.03568355623,-0.5411796489272097,0.5060133711661378,4592.016704334377,45,4
00009732.step,24,17,102,204,46906.10560251744,-0.19534716865203963,0.3087984797376909,3691.6134764149374,11,6
00009763.step,93,64,446,892,44501.104520513676,-0.857569521633556,1.1106093586236112,16359.255537496556,40,5
00009764.step,34,23,182,364,23443.904791686477,-0.16700478067895408,0.1595569420123414,9950.211743838376,16,7
00009776.step,6,2,24,48,19648.376921930998,0.0002783405282669306,0.0006155902450650816,989.1418596487395,0,3
00009777.step,1,1,4,8,2611563.627380693,-0.019682244949635344,0.0,294060.71051961824,0,1
00009783.step,52,14,288,576,74587.50130485032,-0.036315536315536315,0.06610981028568802,10432.917667806712,14,8
00009796.step,265,219,1446,2892,1623664.9675317858,-0.06597207553700878,0.06304775874201958,623548.9870928791,167,3
00009810.step,216,111,1356,2712,626030.7316166002,-0.12989601704879483,0.13746529600799767,34595.41772128999,107,3
00009812.step,136,81,1034,2068,16425.908748118734,0.12663553884165232,0.2659135860903156,3345.9701081246835,0,4
00009813.step,24,6,134,268,85924.67979592063,-0.07152777777777777,0.13467030786698175,23013.470965405046,6,8
00009817.step,77,66,567,1134,9100.747118593215,-0.017965367965398604,0.6669861015028176,1067.8146882547144,1,5
00009835.step,5,0,18,36,286.4852169696399,0.0,0.0,143.24259336023758,0,1
00009861.step,4,1,12,24,1249.2701355653644,-0.024999999999999998,0.04330127018922193,746.1282552275751,1,3
00009866.step,28,2,156,312,55640.001464400106,-0.015873015873015872,0.05723097262641253,53041.913743824116,2,7
00009867.step,25,9,144,288,32128.64848403509,-0.03782019566786536,0.05342628074406819,9319.390707010303,7,8
00009868.step,43,7,244,488,8547.000266300027,-0.02402959468691268,0.06138013414276137,5598.490959432964,6,8
00009869.step,36,4,204,408,6012.500205600017,-0.01712962962962963,0.051704900893493985,3597.4460069111756,4,7
00009872.step,25,8,150,300,9020.000298199999,-0.08034454157613322,0.12334338835061152,5212.1617997793255,8,8
